ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1734	"F"	78	8	5	3	4	2
1735	"M"	44	7	5	1	2	1
1736	"F"	32	8	2	2	2	2
1737	"M"	45	4	6	1	2	1
1738	"M"	50	6	5	1	2	1
1739	"F"	46	7	5	2	2	2
1740	"M"	39	7	5	2	2	1
1741	"F"	39	8	5	1	2	2
1742	"F"	46	8	5	1	2	2
1743	"F"	84	5	1	3	4	2
1744	"M"	38	6	5	1	2	1
1745	"M"	62	5	5	3	2	1
1746	"F"	47	6	5	4	2	2
1747	"F"	52					2
1748	"F"	52	2	5	1	4	2
1754	"F"	47	8	5	1	2	2
1761	"F"	41	8	5	1	2	2
1762	"F"	30	6	5	1	2	2
1763	"F"	43	4	5	2	2	2
1765	"F"	47	5	5	2	2	2
1766	"F"	57	5	5	1	2	2
1772	"F"	42	7	5	1	2	2
1778	"F"	69	6	5	3	2	2
1780	"F"	41	3	5	5	3	2
1781	"F"	45	6	5	1	2	2
1782	"F"	36	5	5	2	2	2
1785	"F"	46	8	5	1	1	2
1787	"F"	36	5	5	2	2	2
1791	"F"	72	8	5	3	2	2
1792	"F"	52	6	5	3	2	2
1794	"F"	63	3	5	3	2	2
1797	"M"	67	4	5	3	2	1
1798	"F"	50	7	5	1	3	2
1799	"F"	46	8	5	1	1	2
1804	"F"	47	8	5	1	2	2
1806	"F"	45	6	5	2	2	2
1808	"F"	37	7	5	2	2	2
1810	"F"	62	8	5	2	2	2
1815	"F"	55	7	1	1	2	2
1819	"F"	41	3	5	1	2	2
1823	"F"	37	5	5	4	2	2
1828	"F"	39	7	5	1	2	2
1835	"F"	43	6	5	4	2	2
1836	"F"	48	5	5	1	4	2
1838	"F"	51	7	5	2	2	2
1839	"F"	45	5	5	5	2	2
1840	"F"	62	5	5	3	2	2
1844	"F"	36	3	5	1	5	2
1845	"F"	52	5	5	2	2	2
1849	"F"	48	7	5	1	2	2
1850	"F"	46	5	5	1	5	2
1851	"F"	44	6	5	2	2	2
1852	"F"	54	8	5	2	2	2
